profile_id,org_id,employee_name,designation,contact_no,email_id,created_by,created_date,updated_by,updated_date,deleted_by,deleted_date
37,21," Kalyan Kar ","Cofounder & Director",NULL,NULL,NULL,"2024-06-13 19:18:07",NULL,NULL,NULL,NULL
38,21," Subhalakshmi Samanta ",CEO,NULL,NULL,NULL,"2024-06-13 19:21:41",NULL,NULL,NULL,NULL
39,21," Kalpadip Basu ",COO,NULL,NULL,NULL,"2024-06-13 19:21:44",NULL,NULL,NULL,NULL
40,21," Abhishek Nandy ","Chief Data Scientist,Cofounder",NULL,NULL,NULL,"2024-06-13 19:21:47",NULL,NULL,NULL,NULL
41,21," Indranil Mukhopadhyay ",CIO,NULL,NULL,NULL,"2024-06-13 19:21:50",NULL,NULL,NULL,NULL
42,23," Jiaming Li ",Co-Founder,NULL,NULL,NULL,"2024-06-13 19:22:15",NULL,NULL,NULL,NULL
43,23," Chong Wang ","Founder Partner",NULL,NULL,NULL,"2024-06-13 19:22:18",NULL,NULL,NULL,NULL
44,25," Charlie Rapple ","Chief Customer Officer Co-founder",NULL,NULL,NULL,"2024-06-13 19:22:42",NULL,NULL,NULL,NULL
45,25," David Sommer ","Chief Product Officer and Co-founder",NULL,NULL,NULL,"2024-06-13 19:22:46",NULL,NULL,NULL,NULL
46,25," Stuart Dawson ",CFO,NULL,NULL,NULL,"2024-06-13 19:22:49",NULL,NULL,NULL,NULL
47,25," Melinda Kenneway ","Chief Executive Officer Co-founder",NULL,NULL,NULL,"2024-06-13 19:22:52",NULL,NULL,NULL,NULL
48,26," Stephen Balaban ","Co-Founder & CEO",NULL,NULL,NULL,"2024-06-13 19:23:03",NULL,NULL,NULL,NULL
49,26," Michael Balaban ","Co-Founder & Head of Engineering",NULL,NULL,NULL,"2024-06-13 19:23:07",NULL,NULL,NULL,NULL
50,26," Chris MacNaughton ","Senior Software Engineer",NULL,NULL,NULL,"2024-06-13 19:23:10",NULL,NULL,NULL,NULL
